@RELATION sex
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE sex NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE men NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE female NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE sexual NUMERIC
@ATTRIBUTE diabetic NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE male NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE women NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE hiv NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE relative NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE aged NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE death NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE mortality NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE survival NUMERIC
@ATTRIBUTE rates NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE reported NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE development NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE population NUMERIC
@ATTRIBUTE receptor NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE cohort NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE health NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE diabetes NUMERIC
@ATTRIBUTE bp NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE number NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE prevalence NUMERIC
@ATTRIBUTE regression NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE cases NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE males NUMERIC
@ATTRIBUTE care NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE people NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE aids NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE older NUMERIC
@ATTRIBUTE d2 NUMERIC
@ATTRIBUTE relationship NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE transplant NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE infection NUMERIC
@ATTRIBUTE females NUMERIC
@ATTRIBUTE outcome NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE adults NUMERIC
@ATTRIBUTE emergency NUMERIC
@ATTRIBUTE muscle NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE healthy NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE versus NUMERIC
@ATTRIBUTE controls NUMERIC
@ATTRIBUTE influence NUMERIC
@ATTRIBUTE incidence NUMERIC
@ATTRIBUTE frequency NUMERIC
@ATTRIBUTE any NUMERIC
@ATTRIBUTE behavioral NUMERIC
@ATTRIBUTE case NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE out NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE young NUMERIC
@ATTRIBUTE adolescents NUMERIC
@ATTRIBUTE condom NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE mixed NUMERIC
@ATTRIBUTE ratio NUMERIC
@ATTRIBUTE matched NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE sample NUMERIC
@ATTRIBUTE binding NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE ulcer NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE satisfaction NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE smoking NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE egl NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE values NUMERIC
@ATTRIBUTE if NUMERIC
@ATTRIBUTE overall NUMERIC
@ATTRIBUTE about NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE lung NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE peptic NUMERIC
@ATTRIBUTE statistically NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE metabolic NUMERIC
@ATTRIBUTE examined NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE individuals NUMERIC
@ATTRIBUTE lead NUMERIC
@ATTRIBUTE association NUMERIC
@ATTRIBUTE af NUMERIC
@ATTRIBUTE exposed NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE ventricular NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE white NUMERIC
@ATTRIBUTE urinary NUMERIC
@ATTRIBUTE reproductive NUMERIC
@ATTRIBUTE according NUMERIC
@ATTRIBUTE corneal NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE ci NUMERIC
@ATTRIBUTE proportional NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE vs NUMERIC
@ATTRIBUTE fgf NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE stress NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE wound NUMERIC
@ATTRIBUTE surgery NUMERIC
@ATTRIBUTE trauma NUMERIC
@ATTRIBUTE greater NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE activities NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE logistic NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE family NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE national NUMERIC
@ATTRIBUTE highest NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE lubricant NUMERIC
@ATTRIBUTE interval NUMERIC
@ATTRIBUTE adult NUMERIC
@ATTRIBUTE presence NUMERIC
@ATTRIBUTE whereas NUMERIC
@ATTRIBUTE preoperative NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE baseline NUMERIC
@ATTRIBUTE weeks NUMERIC
@ATTRIBUTE ad NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE deaths NUMERIC
@ATTRIBUTE skin NUMERIC
@ATTRIBUTE hhv NUMERIC
@ATTRIBUTE amount NUMERIC
@ATTRIBUTE kshv NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE psychiatric NUMERIC
@ATTRIBUTE additional NUMERIC
@ATTRIBUTE correlation NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE identified NUMERIC
@ATTRIBUTE visual NUMERIC
@ATTRIBUTE possible NUMERIC
@ATTRIBUTE mass NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE determined NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE variables NUMERIC
@ATTRIBUTE myocardial NUMERIC
@ATTRIBUTE responses NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 65 NUMERIC
@ATTRIBUTE like NUMERIC
@ATTRIBUTE multiple NUMERIC
@ATTRIBUTE increases NUMERIC
@ATTRIBUTE medical NUMERIC
@ATTRIBUTE injury NUMERIC
@ATTRIBUTE exposure NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE community NUMERIC
@ATTRIBUTE workers NUMERIC
@ATTRIBUTE independent NUMERIC
@ATTRIBUTE pnd NUMERIC
@ATTRIBUTE status NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE personality NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE quality NUMERIC
@ATTRIBUTE m NUMERIC
@ATTRIBUTE support NUMERIC
@ATTRIBUTE difference NUMERIC
@ATTRIBUTE various NUMERIC
@ATTRIBUTE adjusted NUMERIC
@ATTRIBUTE average NUMERIC
@ATTRIBUTE stroke NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE hospital NUMERIC
@ATTRIBUTE should NUMERIC
@ATTRIBUTE 40 NUMERIC
@ATTRIBUTE insulin NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE density NUMERIC
@ATTRIBUTE reporting NUMERIC
@ATTRIBUTE Sense {M1,M2,M3,None}
@DATA
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9454672
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9353154
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9589241
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9251638
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9598835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9708065
1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9463355
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9619882
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9391817
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9671246
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9621478
